ev_highest_injury,individual,mechanical,none,organizational,other,total,individual_pct,organizational_pct,mechanical_pct,other_pct
FATL,3165,450,3,41,233,3892,81.32065775950667,1.0534429599177801,11.56217882836588,5.986639260020555
MINR,2440,813,0,13,233,3499,69.7342097742212,0.3715347242069163,23.23521006001715,6.6590454415547295
NONE,9484,2285,0,34,1052,12855,73.77674056787242,0.264488525865422,17.775184753014393,8.183586153247765
SERS,1916,533,0,7,330,2786,68.7724335965542,0.25125628140703515,19.131371141421393,11.844938980617373
