year_bucket,individual,mechanical,none,organizational,other,total,individual_pct,organizational_pct,mechanical_pct,other_pct
2005,2439,526,0,29,271,3265,74.70137825421133,0.888208269525268,16.110260336906585,8.300153139356816
2010,5474,1287,1,44,577,7383,74.14330218068535,0.5959637003927942,17.431938236489234,7.815251252878235
2015,5000,1155,0,15,535,6705,74.57121551081283,0.22371364653243847,17.225950782997764,7.979120059656973
2020,4139,1122,2,9,500,5772,71.7082467082467,0.15592515592515593,19.43866943866944,8.662508662508662
2025,514,62,0,2,39,617,83.3063209076175,0.3241491085899514,10.048622366288493,6.3209076175040515
